nombre,poblacion,temperatura,urbanizacion
Aguascalientes,1434634,19.1,85
Baja California,3769020,22.3,90
Baja California Sur,798447,25.5,75
Campeche,928363,27.6,60
Chiapas,5543828,24.3,40
Chihuahua,3801487,21.8,70
Distrito Federal,9209944,18.5,100
Coahuila de Zaragoza,3146771,23.0,80
Colima,731391,26.1,85
Durango,1832650,20.4,55
Guanajuato,6228174,20.5,70
Guerrero,3533251,26.7,50
Hidalgo,3082841,17.9,60
Jalisco,8348681,21.4,80
México,17427760,18.2,95
Michoacán de Ocampo,4825244,22.5,50
Morelos,1971520,22.9,70
Nayarit,1282146,24.2,60
Nuevo León,5561966,23.7,90
Oaxaca,4132148,22.8,40
Puebla,6583278,18.7,65
Querétaro,2279630,20.6,80
Quintana Roo,1904038,27.2,70
San Luis Potosí,2822235,20.8,55
Sinaloa,3036923,26.5,65
Sonora,2944844,25.0,70
Tabasco,2395272,27.4,55
Tamaulipas,3650601,24.3,70
Tlaxcala,1342977,17.6,55
Veracruz de Ignacio de la Llave,8112505,24.2,55
Yucatán,2320894,26.4,65
Zacatecas,1622138,18.3,45
